Timestamp,RequestID,LogStream,DurationInMS,BilledDurationInMS,MemorySetInMB,MemoryUsedInMB
2022-12-25 17:00:10.731,5baa35d8-c8a1-526b-9adb-69fa4b7817d7,2022/12/25/[$LATEST]14f7fc1e06df44269caa414d51b280f0,854.78,855.0,128,82
2022-12-25 17:00:10.648,0216ec9e-c583-50c7-9309-b0bc465ab57b,2022/12/25/[$LATEST]8520b1ce6b794cb99fb6a3163b14124f,839.5,840.0,128,83
2022-12-25 17:00:10.549,54f7e7c9-8db0-51ae-89d1-bbeb0e634557,2022/12/25/[$LATEST]4d38d68d9b794584a5662b809cbcc740,1201.15,1202.0,128,83
2022-12-25 17:00:10.505,2f170e52-1cc5-56c9-9140-52709f1c7375,2022/12/25/[$LATEST]151cb5e0a63043b4ad4f64296b7a02fe,810.71,811.0,128,83
2022-12-25 17:00:10.297,9faa8e18-33da-53fa-826a-d23ab01feddf,2022/12/25/[$LATEST]74aab8a145554abca0f5dac68a42353a,905.11,906.0,128,82
2022-12-25 17:00:10.255,e9a79e51-3b51-528e-944d-c273b882f9f8,2022/12/25/[$LATEST]88aafffcaa04449cb6bc7367398d7a4d,912.15,913.0,128,83
2022-12-25 17:00:10.248,7d0f091d-caf4-5b3e-bf8d-553f492d9e82,2022/12/25/[$LATEST]5f7be210e06942c79f1f1c7cf649f603,832.11,833.0,128,83
2022-12-25 17:00:09.525,e1af2405-6c03-5c76-874a-7827efdbc9ca,2022/12/25/[$LATEST]151cb5e0a63043b4ad4f64296b7a02fe,827.17,828.0,128,83
2022-12-25 17:00:09.487,317ad9e3-6e1d-5912-a4cd-85c1edc5ccae,2022/12/25/[$LATEST]8520b1ce6b794cb99fb6a3163b14124f,827.1,828.0,128,83
2022-12-25 17:00:09.408,5328da9a-557a-5768-b43b-86b8d6abf2d4,2022/12/25/[$LATEST]5f7be210e06942c79f1f1c7cf649f603,887.27,888.0,128,83
2022-12-25 17:00:09.391,6bda8609-f9b7-5b85-afa5-da2b7a722825,2022/12/25/[$LATEST]14f7fc1e06df44269caa414d51b280f0,827.46,828.0,128,82
2022-12-25 17:00:09.356,20c4089b-0f24-536b-b582-54b98cf5c9d1,2022/12/25/[$LATEST]74aab8a145554abca0f5dac68a42353a,854.85,855.0,128,82
2022-12-25 17:00:09.355,e5bd9e52-b128-5dbc-bf4d-c27032f9ffa6,2022/12/25/[$LATEST]4929ba7e55954da981e74fe42d505121,845.61,846.0,128,83
2022-12-25 17:00:09.349,fa72758d-2961-5b91-9413-29afaab3e52e,2022/12/25/[$LATEST]efc843ea92d54494b30f8e88a79c96d9,809.56,810.0,128,82
2022-12-25 16:59:21.756,0eee1b89-e508-5626-8e52-47ab66a02c9c,2022/12/25/[$LATEST]74aab8a145554abca0f5dac68a42353a,851.42,852.0,128,82
2022-12-25 16:59:21.654,03559a5f-e5bf-5b53-b0e1-c67d6617fccf,2022/12/25/[$LATEST]4929ba7e55954da981e74fe42d505121,855.75,856.0,128,83
2022-12-25 16:59:21.508,0f894184-502c-5b1e-94f1-1da6d38401a4,2022/12/25/[$LATEST]5f7be210e06942c79f1f1c7cf649f603,828.57,829.0,128,83
